Route/state ID,Element/anatomy,Dimension/action,Fixture/profile,iOS exact reference,Android observed,Difference,Required action,Evidence/confidence,Status/exception proof
composer_empty_default,page,reachable route,catalog-v1/all,만들기 tab,ComposerScreen,none,paired capture,source/high,implemented from source; visual parity unverified
settings_default,page,reachable route,catalog-v1/all,내 설정 tab,ProfileSettingsScreen,none,paired capture,source/high,implemented from source; visual parity unverified
composer_empty_default,page,background color,catalog-v1/all,"RGB 0.98/0.97/0.94",BrandTheme.canvas,none,paired capture,source/high,implemented from source; visual parity unverified
composer_empty_default,card,padding/radius/border,catalog-v1/all,18/20/1 dp,18/20/1 dp,none,paired capture,source/high,implemented from source; visual parity unverified
composer_empty_default,layout,phone/tablet breakpoint,catalog-v1/all,"compact 1-column; regular 2-column",600dp 1/2-column,platform width-class mapping,paired capture,source/high,implemented from source; visual parity unverified
composer_empty_default,style grid,accessibility reflow,catalog-v1/phone_accessibility,1 column,1 column at fontScale>=1.3,Dynamic Type category mapping,calibrate threshold with paired devices,source/medium,확인 필요
composer_empty_default,AI grid,accessibility reflow,catalog-v1/phone_accessibility,2 columns,2 columns at fontScale>=1.3,Dynamic Type category mapping,calibrate threshold with paired devices,source/medium,확인 필요
composer_empty_default,ChatGPT artwork,file SHA-256,catalog-v1/all,84a0538069991e882da2b9d5f0e9e87743f75a09091110e9f6bec96cd1a43827,same,none,none,hash/high,matched
composer_empty_default,Gemini artwork,file SHA-256,catalog-v1/all,795adb6ac3f6e023b9a407bdd869e265a9214f7b5f82351ffc6d3c04c37300d3,same,none,none,hash/high,matched
composer_empty_default,Grok artwork,file SHA-256,catalog-v1/all,d162495d05492adef311d7a53cb134fafff4e4577c77e61302275bfec2dc0f78,same,none,none,hash/high,matched
all,typography,font family,catalog-v1/all,SF system,Android system Roboto,platform-owned font differs,legal equivalent asset or documented exception,source/high,확인 필요
all,icons,glyph geometry,catalog-v1/all,SF Symbols,Material vectors,platform-owned glyphs differ,app-owned legal vectors or documented exception,source/high,확인 필요
composer_generated_valid,caption,count/validation,catalog-v1/all,Swift Character exact count,ICU grapheme exact count,no golden paired output yet,add iOS golden fixture,unit tests/high,implemented from source; cross-platform golden unverified
composer_generated_stale,draft,status after input change,catalog-v1/all,조건이 바뀌었어요. 다시 만들어 주세요.,same,none,paired interaction capture,source/high,implemented from source; visual parity unverified
settings_default,profile,migration,catalog-v1/all,386 v1 preserving 200,386 v1 preserving 200,none,none,unit tests/high,matched behavior
settings_default,presets,save replace apply delete,catalog-v1/all,immediate UserDefaults,immediate SharedPreferences,storage mechanism differs but behavior equivalent,paired interaction replay,unit tests/high,implemented from source; persistence parity unverified
os_media_picker,system surface,photo/video selection,catalog-v1/all,PhotosPicker,Android Photo Picker,OS-owned surface differs,documented OS exception,platform/high,OS exception
os_share_sheet,system surface,share,catalog-v1/all,UIActivityViewController,Android chooser,OS-owned surface/callback differs,documented OS exception,platform/high,OS exception
